4 6
5 4
1 2
0 1
0 1
1 2
2 6
0 1
0 1
0 1
1 3
0 1
0 1
2 3
0 1
4 6
3170 3576
1 2
1 2
4 6
0 1
0 1
3 5
0 1
0 1
0 1
1 3
0 1
1 3
1548 1519
12456 13092
276 312
0 1
0 1
1 2
2 4
0 1
0 1
1549 1720
3 8
0 1
0 1
6 9
0 1
0 1
3 5
3 3
1 2
2 3
0 1
4 9
1 3
2 3
6 14
0 1
0 1
2 3
4 5
0 1
5 8
16991 18798
376 719
0 1
0 1
2 6
0 1
0 1
0 1
0 1
0 1
1 3
0 1
2 2
0 1
0 1
0 1
0 1
0 1
21283 22487
0 1
0 1
2 6
0 1
5 15
5 14
0 1
0 1
0 1
0 1
1 2
0 1
1 3
0 1
0 1
1 2
11055 12776
0 1
3 7
1 4
1 2
0 1
5 10
0 1
0 1
0 1
0 1
2 4
0 1
0 1
0 1
0 1
6 10
0 1
0 1
0 1
0 1
0 1
0 1
0 1
2 4
0 1
0 1
1 3
5 4
0 1
12 24
0 1
1 2
1 2
0 1
0 1
13037 12056
1 2
1 2
0 1
0 1
0 1
1 2
4 6
5 6
1 2
0 1
46 45
1 2
2 3
1 2
2 3
2 3
2 6
13 25
4 5
102 128
0 1
0 1
0 1
2 5
0 1
1 3
0 1
0 1
24 39
41 34
0 1
0 1
3 3
1 2
15095 15761
15476 14634
0 1
0 1
0 1
2 3
0 1
0 1
0 1
0 1
0 1
8 21
3 5
6 19
1 2
2 6
0 1
2 3
0 1
0 1
0 1
1 3
0 1
0 1
0 1
16684 18538
0 1
1 2
0 1
0 1
0 1
0 1
2 3
0 1
17 14
3171 3930
377 513
0 1
17439 18285
16069 15380
1 2
8 22
0 1
1 3
0 1
0 1
0 1
2 3
4 6
3172 2042
0 1
1 2
4 4
0 1
0 1
9 15
0 1
15640 17742
0 1
0 1
0 1
0 1
11 14
0 1
0 1
0 1
1 3
0 1
0 1
0 1
4 9
13038 11960
0 1
3 6
1 2
0 1
0 1
0 1
2 4
0 1
2 4
3173 3905
5 11
2 4
15224 16712
4 6
0 1
1 2
1 3
2 4
0 1
2 3
15477 14696
0 1
0 1
6 11
0 1
0 1
0 1
9 9
2 5
0 1
4 26
16992 18522
0 1
3 4
0 1
1 3
1 5
