2 4 6 4
2 2 7 3
0 5 0 5
1 1 3 4
0 1 0 1
1 14 274 231
0 42 0 42
3 16 8 16
2 3 3 4
0 2 0 2
0 1 0 1
0 1 0 1
1 3 1 3
0 2 0 2
0 2 0 2
1 22 15 33
2 3 1 3
1 1 1 1
1 3 1 3
1 3 1 3
0 1 0 1
2 3 4 3
0 1 0 1
0 2 0 2
2 3 4 3
2 17 6 17
3 4 4 4
1 3 1 4
0 2 0 2
0 2 0 2
0 2 0 2
3 5 3 5
0 3 0 3
0 1 0 1
1 13 4 17
1 2 2 2
1 3 1 4
0 3 0 3
1 1 1 2
0 2 0 2
1 12 2 14
1 4 4 4
2 5 4 5
1 14 3 17
3 31 257 231
0 1 0 1
1 2 2 2
2 3 2 3
0 2 0 2
0 1 0 1
0 3 0 3
2 4 5 4
1 2 1 2
0 3 0 3
1 2 3 5
3 4 3 4
0 2 0 2
0 1 0 1
0 2 0 2
2 2 3 2
0 2 0 2
0 2 0 2
0 1 0 1
4 2 2 2
0 2 0 2
1 35 253 231
2 12 3 12
1 3 14 17
0 3 0 3
1 3 1 4
0 2 0 2
2 3 6 3
1 3 2 5
2 2 2 3
0 1 0 1
0 2 0 2
1 2 1 3
2 5 2 5
0 1 0 1
3 3 5 3
0 1 0 1
0 1 0 1
1 1 1 1
1 2 1 3
0 1 0 1
5 11 10 11
0 1 0 1
6 5 3 5
2 7 5 8
1 9 5 14
0 4 0 4
2 3 5 6
0 2 0 2
1 1 1 1
4 60 228 231
1 1 1 1
0 5 0 5
2 15 273 231
2 3 2 3
0 2 0 2
0 2 0 2
1 7 8 8
3 172 31 172
1 112 176 231
0 1 0 1
2 5 2 5
1 47 241 231
0 2 0 2
2 2 2 2
2 7 5 7
0 1 0 1
0 2 0 2
2 11 9 11
0 1 0 1
0 1 0 1
1 1 1 2
0 1 0 1
1 10 278 231
1 1 2 3
2 212 76 231
1 1 1 1
1 12 7 12
1 6 9 15
1 2 1 3
0 3 0 3
0 2 0 2
3 2 3 3
2 2 1 2
0 1 0 1
0 1 0 1
1 1 1 2
0 5 0 5
1 2 3 2
1 4 5 4
0 2 0 2
1 2 1 3
0 2 0 2
1 5 1 6
1 4 1 4
1 3 2 3
0 3 0 3
1 3 4 7
1 1 1 2
1 2 1 2
0 2 0 2
2 3 1 4
2 6 1 6
3 11 4 11
1 1 1 2
0 1 0 1
2 4 5 7
1 11 6 11
0 3 0 3
2 54 234 231
0 2 0 2
1 4 4 8
1 3 1 4
2 38 250 231
1 1 1 2
0 1 0 1
0 2 0 2
1 4 3 4
0 2 0 2
4 8 4 8
0 1 0 1
0 3 0 3
2 6 2 7
1 2 1 3
2 1 1 1
1 12 5 17
0 1 0 1
1 2 8 4
2 5 2 5
1 2 1 3
0 3 0 3
1 1 1 2
0 2 0 2
0 1 0 1
1 2 1 3
2 3 4 5
1 5 2 5
0 1 0 1
4 4 3 4
0 3 0 3
1 9 4 13
0 1 0 1
1 2 1 3
3 46 13 46
0 2 0 2
3 65 14 65
2 58 230 231
1 6 1 6
2 18 7 18
1 3 2 3
0 3 0 3
1 3 1 3
2 3 6 9
0 4 0 4
3 4 3 4
0 2 0 2
0 3 0 3
1 16 18 34
3 6 8 6
0 3 0 3
0 4 0 4
0 2 0 2
0 2 0 2
0 1 0 1
1 4 1 4
0 4 0 4
0 2 0 2
0 1 0 1
0 1 0 1
1 3 1 3
2 2 1 2
1 5 7 5
1 1 1 1
1 2 2 2
1 5 2 5
0 4 0 4
0 2 0 2
1 5 1 5
0 3 0 3
3 210 78 231
1 1 1 1
0 2 0 2
1 2 1 2
4 30 258 231
1 8 8 9
1 1 1 1
1 2 1 3
1 1 1 2
0 3 0 3
1 2 1 2
0 3 0 3
0 6 0 6
4 40 9 40
0 3 0 3
0 1 0 1
1 10 11 21
2 203 54 217
2 3 3 3
0 1 0 1
0 1 0 1
0 2 0 2
3 44 21 44
0 2 0 2
0 3 0 3
0 4 0 4
3 6 3 6
3 9 279 231
2 5 1 5
0 2 0 2
2 8 4 8
0 2 0 2
1 2 2 3
2 6 2 6
0 1 0 1
4 16 8 16
2 30 12 30
1 1 1 2
0 4 0 4
4 4 4 4
3 4 4 4
1 1 3 4
2 4 5 4
1 1 2 2
5 11 6 11
0 4 0 4
0 2 0 2
1 1 2 2
0 2 0 2
0 2 0 2
3 1 2 2
0 3 0 3
0 1 0 1
0 1 0 1
0 2 0 2
2 3 2 5
0 3 0 3
1 1 1 2
1 1 1 2
0 2 0 2
1 5 4 9
1 3 2 5
1 5 1 6
