1852932	1996272	3314431
1173600	4016759	4016760
2564455	2932019	3475754
3814589	3814590	3814591
3274679	3507601	3507602
3381929	3858424	3858425
2513049	3906048	3906049
1596228	1596625	1596626
829396	829399	1443169
1533170	2821108	2821109
645397	2231247	2231862
2567554	3380129	3380130
3380129	3380130	3380131
2062336	3492179	3492180
355621	355622	4029205
3486536	3486537	3486543
879144	879193	879194
3129270	3129281	3129282
2697374	3450204	3450205
3366444	3366445	3366450
1104965	1104966	1104967
451314	2146784	2146785
2177678	3114772	3386383
1272061	3391874	3391875
462678	3437236	3437237
1621694	2556516	2556517
3922161	3922162	3922164
2270612	3972451	3972452
1409613	3356841	3356842
394491	394492	2615390
1998217	2610092	2610094
1996238	4019286	4019287
2419286	3463113	3463115
3479845	3479846	3479847
3453557	3453558	3453559
3478072	3822643	3822644
956691	1532032	1532033
1462174	4021248	4021249
3831889	3831890	3831891
496420	496422	3430364
3277999	3430283	3430284
1616886	1971327	1971328
2410703	3685051	3685054
1170739	3029435	3029436
1845802	2225169	3998423
3764572	3764574	3764575
3764572	3764574	3764575
1432456	2601450	2601451
3276427	3276429	3276430
3691702	3691703	3691704
1465739	2199203	3999764
637932	1461205	3694312
3417607	3417614	3417615
4026787	4026788	4026789
3263321	3263322	3263323
2163084	3653354	3653355
2163084	3653354	3653355
3653997	3653998	3654000
2274206	3996173	3996174
1796436	3302320	3302321
436938	744276	3323984
514063	3669011	3669012
3667121	3667159	3667161
3672888	3672890	3672891
3297402	3297403	3750234
1141212	2777201	3734861
3425814	3735403	3735404
625403	2038646	3731603
3449198	3730075	3730076
3414050	3414054	3414055
1410956	2650557	3614536
2552558	3368784	3611086
2632071	3611372	3611373
489550	1940406	1940408
1841672	2089407	3642045
1510632	3757788	3757789
3757348	3757349	3757353
1527503	1527508	1527509
857952	1162862	1162863
2336529	3644581	3721573
3667482	3799219	3799220
2059319	2059379	2059380
3056619	3568510	3568513
3469457	3469458	3795191
1758679	4014283	4014284
1951632	3597238	3597239
1958379	3274378	3535149
392914	2400915	2400916
384870	2405363	3989059
3532428	3796507	3796509
3532428	3796507	3796509
2875995	3233410	3233412
3455645	3546916	3546917
1127091	1127092	3986359
394642	1170447	2370762
673239	1729274	3561893
444537	2861351	3239611
396372	2323379	2323380
3386950	3856794	3856796
3340450	3340460	3340461
902201	2189676	3254276
515118	594049	1082797
3631013	3631014	3631015
3256441	3256443	3893150
1113179	1113180	1114118
758623	3641622	3641627
1835634	1835666	4011827
1254922	2878896	2878897
999493	1949697	1949698
3241807	3241808	3241815
1521798	3454307	3620569
2763037	3625477	3625478
2970015	3040968	3614064
1965420	3951530	3951531
870066	1393620	2679914
2887944	3072243	3072254
2036059	2846197	2846199
2845337	3963128	3963129
1194804	2331990	2332241
1545812	1545813	2862667
974384	2955926	2955928
920711	920782	920783
451562	1254597	1254598
2198552	2198553	2767259
3231262	3231264	3231265
1841382	3968632	3968633
2569045	3934535	3934539
2594327	2594328	2709766
2356688	2356689	2356690
898461	1984005	3970304
2243575	3936788	3936790
1621737	3346692	3346693
621038	621564	621565
1058321	1294830	2641138
3852906	3868055	3868056
1575657	1575755	2915731
691885	4032184	4032185
2677767	3969983	3969984
3873518	3873519	3873520
3968253	3968254	3968255
691885	4032184	4032185
2653928	2653929	2653930
3146249	3146253	3146254
795902	3229008	3229009
691885	4032184	4032185
1415495	3940482	3940483
2432250	3455125	3455126	3455127
496903	496904	2740069	3947653
2010450	2749853	2749983	2749984
2892310	3950475	3950476	3950477
2272375	2272406	2272407
884539	2501619	3003384	3003385
1219807	3121992	3121993	3121995
2520515	3981394	3981395
4007539	4007540	4007542	4007543
1206051	3742538	3742539	3742540
3461576	3829814	3829815
3060906	3060907	3928148	3928149
1494765	3688892	3688894	3688895
2890689	3950670	3950671	3950672
1218987	2048830	2048831	2048832
2006057	4007046	4007047	4007048
2838045	3599168	3599171	3599172
2064690	2064755	2064756	2064757
2016584	2016585	2016586	2016587
2016584	2016585	2016586	2016587
673239	1729274	3561893
483739	778178	3472452	3472453
3236828	3897592	3897594	3897596
3595332	3595333	3595335
1918815	1918816	2710387	2710394
1116185	1116194	1116195	1116196
3776137	3950515	3950516	3950517
3750237	3750242	3750245	3750246
3348821	3348823	3348824	3745288
417934	4033914	4033915	4033917
682019	4032303	4032304	4032305
814386	3897529	3897530	3897531
1009043	1014994	1014995	1014996
3843946	3843948	3843949	3843950
791751	1628682	2370793	3720142
764763	4003734	4003735	4003737
2980606	2980616	2980617	2980620
3573727	3573728	3573729	3573730
398009	4034043	4034044	4034045
3252155	3528484	3528485	3528490
2065191	3527486	3527561	3527562
1630261	1852925	3725563	3725564
478433	3221012	3221013	3221014
3712532	3712533	3712534
1396244	2434999	2435000	2435001
1905946	3711100	3711101	3711102
2400049	2608719	2608752	3555504
3222836	3900589	3900590
3222836	3900589	3900590
2404282	3219982	3219983	3219984
3102981	3102992	3102993	3102995
926621	1965008	1965009	3949807
1829655	1829656	3386324	3857009
1120193	3331258	3717152	3717153
275508	2530977	2530979	2530980
2203972	2679599	2679600	3211504
3352513	3867908	3867909	3867911
3352513	3867908	3867909	3867911
3352513	3867908	3867909	3867911
3352513	3867908	3867909	3867911
3352513	3867908	3867909	3867911
1233691	3878080	3878081	3878082
2504933	3982985	3982987	3982988
3855594	3855600	3855601	3855604
430849	3031173	3031174	3932502
682218	3059020	3059021	3059022
540150	540153	540154	2085517
3435020	3506058	3506064	3506065
2707329	3948278	3948279	3948280
2430196	2430197	2430198
2144183	3289344	3289345	3289346
2522627	3820408	3820409	3820411
1232825	1294770	3591590	3591596
1589672	1666001	2466030	3494230
3077552	3077555	3077558	3077559
1319147	2885796	2885801	3500232
2064877	2064878	2064880	4005282
416250	3737606	3737607	3737609
3497278	3497279	3497280	3497283
3694630	3694631	3694632
4016525	4016527	4016528
1872659	2260721	2260722	2260723
3206137	3903843	3903844	3903845
2190262	2972095	2972096
2180038	2180044	2180045	2180046
1836271	3635706	3635707	3635710
1400581	3827538	3827539	3827540
1234919	3583591	3583592	3583594
3515873	3515874	3515875	3515876
2407984	2407985	2407986	3988900
2569025	3514173	3514174	3514175
3822755	3822756	3822757
3944943	3944944	3944945	3944946
1631145	1631146	3870013	3870014
2515491	3852902	3852903	3852904
618030	3095391	3095392	3095393
3661379	3661380	3661381
1688551	3837343	3837345	3837346
3961668	3961669	3961670	3961671
2909972	3948644	3948645	3948646
1781025	3915986	3915988	3915989
1960205	3393619	3402549	3402550
2823520	3082409	3082410
1895242	1895245	1895418	1895469
2770999	2771000	2771001	2771002
2708648	3626659	3626661	3626664
1510129	3396148	3396150	3396151
1575613	3914153	3914155	3914157
910418	3526711	3526712	3526713
3100248	3573934	3573935	3573936
1934880	2794836	2794837	2794838
2032855	2419086	2419087	2419088
2507814	2507815	3982850
2586644	2639498	3973433	3973434
3118909	3954063	3954064	3954065
1071397	3256441	3256442	3256443
947207	947208	947209	947210
3256382	3893230	3893231	3893232
3122416	3122420	3122421	3122422
3122416	3122420	3122421	3122422
132662	1126988	3812779	3812780
1816568	4012424	4012425	4012426
1039497	3528542	3528543	3528544
3156140	3156158	3156159	3156160
3945347	3945352	3945353	3945354
3343644	3916873	3916875
2482999	3935381	3935382	3935383
3946166	3946167	3946171	3946172
1112459	1256724	4027008	4027009
2941439	2941440	2941442
2443798	2443799	3798047	3798048
2923655	3254263	3254266	3254267
429905	3893592	3893593	3893594
1345033	1345034	1345035	4022691
2964470	3917487	3917488	3917489
3917499	3917500	3917501
2380002	2576963	3977548	3977549
2275586	2275609	3760621	3760622
3498037	3498043	3498044	3498046
1113174	1114060	1114061	1114063
3325550	3325552	3325553	3325554
2441056	2552561	3979268
1096449	1096451	4025379	4025380
179609	749000	2590213	3991736
593696	4008736	4008737	4008738
2159363	3756408	3756409	3756411
1079914	3801934	3801935	3801936
3754431	3754433	3754434
757117	757752	4031324	4031326
4008005	4008006	4008007
2309356	2923339	2923340	2923352
878145	1616486	1616487	1616488
4021015	4021016	4021017
2290929	2290930	2290931	2290932
